first_name,second_name,now_cost,total_points,form,minutes,team,element_type
Kyle,Walker-Peters,4.4,22,3.3,890,17,2
Maxwel,Cornet,4.7,1,0.0,71,17,3
Flynn,Downes,4.8,19,1.7,986,17,3
Ben,Brereton Díaz,5.0,10,0.3,406,17,3
Tyler,Dibling,4.5,23,1.0,656,17,3
Mateus Gonçalo,Espanha Fernandes,5.0,27,3.7,798,17,3
Dominic,Solanke-Mitchell,7.6,48,7.7,887,18,4
Rodrigo,Bentancur,5.0,19,2.7,532,18,3
Lucas,Bergvall,4.4,6,0.3,47,18,3
Yves,Bissouma,4.9,27,1.3,486,18,3
Ben,Davies,4.3,7,2.3,119,18,2
Radu,Drăgușin,4.3,11,3.0,369,18,2
Archie,Gray,4.7,5,0.3,42,18,3
Brennan,Johnson,6.7,55,5.3,893,18,3
Dejan,Kulusevski,6.3,47,4.3,948,18,3
James,Maddison,7.6,68,7.7,771,18,3
Pedro,Porro,5.5,49,6.3,1077,18,2
Richarlison,de Andrade,6.8,7,1.3,87,18,4
Cristian,Romero,5.0,34,0.7,960,18,2
Pape Matar,Sarr,4.8,21,2.0,528,18,3
Son,Heung-min,9.9,53,4.0,726,18,3
Djed,Spence,4.4,3,0.3,64,18,2
Destiny,Udogie,4.9,29,3.0,1004,18,2
Micky,van de Ven,4.6,27,0.0,710,18,2
Guglielmo,Vicario,5.0,37,3.7,1080,18,1
Timo,Werner,6.2,18,1.7,265,18,3
Mikey,Moore,4.5,5,0.0,82,18,3
Wilson,Odobert,5.3,6,0.0,160,18,3
Aaron,Wan-Bissaka,4.4,33,7.3,904,19,2
Edson,Álvarez Velázquez,5.0,6,-0.7,407,19,3
Michail,Antonio,5.4,39,1.7,742,19,4
Alphonse,Areola,4.3,15,0.0,675,19,1
Jarrod,Bowen,7.4,57,4.0,1057,19,3
Vladimír,Coufal,4.3,10,0.3,236,19,2
Aaron,Cresswell,4.0,3,0.0,26,19,2
Emerson,Palmieri dos Santos,4.4,28,5.3,925,19,2
Łukasz,Fabiański,4.1,21,5.7,405,19,1
Danny,Ings,5.0,20,0.7,85,19,4
Max,Kilman,4.5,33,4.3,1080,19,2
Mohammed,Kudus,6.2,23,0.0,662,19,3
Luis Guilherme,Lira dos Santos,4.7,2,0.3,11,19,3
Lucas,Tolentino Coelho de Lima,5.8,32,2.3,901,19,3
Konstantinos,Mavropanos,4.4,17,0.7,683,19,2
Tomáš,Souček,4.9,42,4.3,742,19,3
Andy,Irving,4.8,3,0.7,36,19,3
Crysencio,Summerville,5.7,21,2.3,424,19,3
Guido,Rodríguez,4.9,20,1.3,805,19,3
Niclas,Füllkrug,6.7,3,0.0,63,19,4
Jean-Clair,Todibo,4.3,15,2.7,558,19,2
Carlos,Soler,5.0,8,1.7,346,19,3
Sam,Johnstone,4.4,10,0.0,450,20,1
Rayan,Aït-Nouri,4.8,38,3.0,1014,20,2
Jean-Ricner,Bellegarde,5.0,24,1.0,561,20,3
Francisco Jorge,Tomás Oliveira,4.5,1,0.0,6,20,3
Matheus,Santos Carneiro Da Cunha,7.0,75,11.3,975,20,4
Craig,Dawson,4.4,18,2.7,749,20,2
Matt,Doherty,4.3,4,0.7,212,20,2
Tommy,Doyle,4.8,14,1.0,262,20,3
Gonçalo Manuel,Ganchinho Guedes,5.3,16,3.3,123,20,3
Hwang,Hee-chan,6.1,8,0.3,253,20,3
João Victor,Gomes da Silva,4.9,38,8.3,1018,20,3
José,Malheiro de Sá,4.3,15,3.3,630,20,1
Mario,Lemina,5.0,40,4.3,972,20,3
Yerson,Mosquera,3.9,3,0.0,441,20,2
Nélson,Cabral Semedo,4.5,19,3.0,870,20,2
Daniel,Castelo Podence,5.5,2,0.0,46,20,3
Rodrigo,Martins Gomes,5.2,8,1.0,207,20,3
Santiago,Bueno,4.3,10,2.3,444,20,2
Pablo,Sarabia,5.1,10,2.7,179,20,3
Jørgen,Strand Larsen,5.6,50,5.0,985,20,4
Toti António,Gomes,4.3,16,4.0,827,20,2
André,Trindade da Costa Neto,5.0,10,0.7,452,20,3
Carlos Roberto,Forbs Borges,5.5,4,0.0,181,20,3
Alfie,Pond,3.9,1,0.3,1,20,2
